_id,FAA/LGFP,Legal title,Appellation legale,Applied title,Titre d'usage,Abbreviation,Abreviation,Footnote,Note de bas de page
614,I.1,Privy Council Office,Bureau du Conseil privé,Privy Council Office,Bureau du Conseil privé,PCO,BCP,The corporate signature includes the title “Government of Canada”.,La signature comprend le titre «Gouvernement du Canada».
615,I.1,Public Health Agency of Canada,Agence de la santé publique du Canada,Public Health Agency of Canada,Agence de la santé publique du Canada,PHAC,ASPC,,
616,I.1,Public Service Commission,Commission de la fonction publique,Public Service Commission of Canada,Commission de la fonction publique du Canada,PSC,CFP,,
617,I.1,Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act,Registraire de la Cour suprême du Canada et le secteur de l'administration publique fédérale nommé en vertu du paragraphe 12(2) de la Loi sur la Cour suprême,,,SCC,CSC,,
618,I.1,Royal Canadian Mounted Police,Gendarmerie royale du Canada,,,RCMP,GRC,,
619,I.1,Royal Canadian Mounted Police External Review Committee,Comité externe d’examen de la Gendarmerie royale du Canada,RCMP External Review Committee,Comité externe d'examen de la GRC,ERC,CEE,,
620,I.1,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,SNSICP,SCPSNR,,
621,I.1,Shared Services Canada,Services partagés Canada,Shared Services Canada,Services partagés Canada,SSC,SPC,,
622,I.1,Statistics Canada,Statistique Canada,Statistics Canada,Statistique Canada,StatCan,StatCan,,
623,I.1,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),,,VRAB,TACRA,,
624,II,Canada Border Services Agency,Agence des services frontaliers du Canada,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,ASFC,,
625,II,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,,,,,,
626,II,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,CEIC,CAEC,,
627,II,Canada Revenue Agency,Agence du revenu du Canada,,,CRA,ARC,,
628,II,Canada School of Public Service,École de la fonction publique du Canada,Canada School of Public Service,École de la fonction publique du Canada,CSPS,EFPC,,
629,II,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité,Accessibility Standards Canada,Normes d'accessibilité Canada,ASC,NAC,,
630,II,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,,,CCOHS,CCHST,,
631,II,Canadian Energy Regulator,Régie canadienne de l'énergie,Canada Energy Regulator,Régie de l'énergie du Canada,CER,REC,,
632,II,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,CFIA,ACIA,,
633,II,Canadian High Arctic Research Station,Station canadienne de recherche dans l’Extrême-Arctique,Polar Knowledge Canada,Savoir polaire Canada,POLAR,POLAIRE,,
634,II,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,,,CIHR,IRSC,,
635,II,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,CNSC,CCSN,,
636,II,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,TSB,BST,,
637,II,Invest in Canada Hub,Investir au Canada,,,,,,
638,II,Law Commission of Canada,Commission du droit du Canada,Law Commission of Canada,Commission du droit du Canada,,,,
639,II,National Research Council of Canada,Conseil national de recherches du Canada,National Research Council Canada,Conseil national de recherches Canada,NRC,CNRC,,
640,II,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie,Natural Sciences and Engineering Research Council of Canada With a New Name,Conseil de recherches en sciences naturelles et en génie du Canada,NSERC,CRSNG,,
641,II,Parks Canada Agency,Agence Parcs Canada,Parks Canada,Parcs Canada,PC,PC,,
642,II,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,SSHRC,CRSH,,
999,X,Department of Testing,Département des essais,Testing Department,Département des essais,TEST,TEST,This is a fake department for testing,C'est un faux département de tests
